company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Reliance Retail,3.9,27.1k,76k,1.9k,132,Retail,Mumbai +1157 other locations,1.8k,1
LTIMindtree,3.6,26k,1.9L,3.4k,501,IT Services & Consulting,Bengaluru +145 other locations,777,1
IBM,3.9,25.4k,2.1L,2.6k,2.3k,IT Services & Consulting,Bengaluru +161 other locations,2.6k,1
HDB Financial Services,3.9,25.3k,49.7k,1.1k,198,NBFC,Mumbai +1092 other locations,1.5k,2
Larsen & Toubro Limited,3.9,23.4k,75.2k,1.8k,191,Engineering & Construction,Chennai +761 other locations,2.5k,2
Deloitte,3.7,22.6k,2.5L,3.3k,1.4k,Management Consulting,Hyderabad +188 other locations,2.4k,2
Kotak Mahindra Bank,3.6,22k,87.3k,1.4k,157,Banking,Mumbai +687 other locations,1.3k,2
Reliance Industries,4.0,19.9k,73.2k,1.6k,121,Oil & Gas,Jamnagar +816 other locations,1.8k,2
Vodafone Idea,3.9,17.5k,49.8k,676,56,Telecom,Pune +704 other locations,2k,2
Bharti Airtel,3.8,16.9k,49.1k,1.1k,178,Telecom,Gurugram +794 other locations,1.6k,2
BYJU'S,3.2,16.4k,54.2k,2.1k,1,EdTech,Bengaluru +322 other locations,1.7k,2
WNS,3.3,14.9k,69.6k,1.2k,118,IT Services & Consulting,Pune +65 other locations,1.3k,2
IDFC FIRST Bank,3.9,14.2k,49.5k,934,43,Banking,Mumbai +715 other locations,692,2
Ernst & Young,3.4,14.1k,1.4L,1.3k,5k,Management Consulting,Bengaluru +132 other locations,1.1k,2
Tata Motors,4.1,14k,42.7k,1.2k,163,Automobile,Pune +508 other locations,1.6k,2
IndusInd Bank,3.4,14k,51.4k,762,88,Banking,Mumbai +792 other locations,796,2
AU Small Finance Bank,3.9,13.9k,29.6k,685,85,Banking,Jaipur +791 other locations,577,2
Bajaj Finserv,4.0,12.8k,30.3k,730,6,NBFC,Pune +1172 other locations,707,2
Muthoot FinCorp,4.5,12.8k,9k,2.3k,24,NBFC,Bengaluru +1107 other locations,275,2
